"Firma","Ansprechpartner_GF","Telefon","Strasse","PLZ","Ort","Branche","MA_Groesse","Quelle","Quelle_Detail","Recherchedatum","Website","Umsatz_EUR","Gewinn_EUR","Anlagevermoegen_EUR","Finanz_Jahr","Finanz_Quelle"
"VERAG Versicherungsmakler GmbH","Lukas Poiss","+43 1 370 26 16","Muthgasse 28/2. Stock","1190","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; verag.at Impressum (WebSearch)","2026-09-20","https://www.verag.at","","","","",""
"W.V.S. Versicherungsservice Strejcek Gesellschaft m.b.H.","Dominik Salzer (gewerberechtl. GF)","+43 1 202 17 20","Dückegasse 7-9/2/31","1220","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; versicherungsmakler.co.at Impressum (WebSearch)","2026-09-20","https://www.versicherungsmakler.co.at","","","","",""
"Hailing Versicherungsmakler GmbH","Ing. Thomas Hailing, BSc","+43 1 4850607","Lorenz-Mandl-Gasse 44-46/13","1160","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; firmenabc.at (WebSearch)","2026-09-20","https://www.hailing.co.at","","","","",""
"GLVM GmbH & Co KG (Goldschmidt & Labner Versicherungsmakler)","Andreas Goldschmidt","+43 1 577 24 37","Wiegelestraße 34","1230","Wien","Versicherungsmakler, GISA 31136549","","Recruiting","WKO Firmen A-Z; glvm.at Kontakt (WebSearch)","2026-09-20","https://www.glvm.at","","","","",""
"WIBEST - Wirtschafts Beratung Steiner (Dipl.-Kffr. Waltraud Steiner)","Waltraud Steiner","+43 676 603 03 69","Harrachgasse 1/11","1220","Wien","Gewerbl. Vermögensberatung","","Recruiting","WKO Firmen A-Z; wibest.at (WebSearch)","2026-09-20","https://www.wibest.at","","","","",""
"Christian Schäfer GmbH Versicherungsmakler","Martin Haidvogel","+43 1 877 03 02","Altgasse 3","1130","Wien","Versicherungsmakler, GISA 23668287","","Recruiting","WKO Firmen A-Z; vmschaefer.at (WebSearch)","2026-09-20","https://www.vmschaefer.at","","","","",""
"COVER-DIRECT Versicherungsmakler u Werbeagentur Ges.m.b.H.","Michael Holeschofsky","+43 1 969 08 40","Hietzinger Hauptstraße 35","1130","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; cover-direct.com Impressum (WebSearch)","2026-09-20","https://www.cover-direct.com","","","","",""
"M.B.P. Versicherungsmakler GmbH","Florian Pesendorfer","+43 1 4921894","Kreitnergasse 8/1","1160","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; mbp.at Kontakt (WebSearch)","2026-09-20","https://www.mbp.at","","","","",""
"Elisabeth Kanzian-Peer","Elisabeth Kanzian-Peer","+43 664 154 2072","Sorgenthalgasse 5/3/9","1210","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; kanzian-peer.at (WebSearch)","2026-09-20","https://www.kanzian-peer.at","","","","",""
"FVP Finanz-Vermögensberatungs GmbH","Karin Skop","+43 1 53 53 100","Edi-Finger-Straße 4/Top 300","1210","Wien","Gewerbl. Vermögensberatung","","Recruiting","WKO Firmen A-Z; fvp-finanz-vermoegensberatung.at (WebSearch)","2026-09-20","https://www.fvp-finanz-vermoegensberatung.at","","","","",""
"Versicherungsmakler Gernot Horzynek","Gernot Horzynek","+43 676 4451617","Waldviertlerweg 36","1220","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; horzynek.at (WebSearch)","2026-09-20","https://www.horzynek.at","","","","",""
"R. Fuchs Versicherungsberatung GmbH","Robert Fuchs (Gründer)","01 2024212","Donaufelder Straße 247, 2. Stock","1220","Wien","Versicherungsmakler","","Recruiting","WKO Firmen A-Z; fuchs-versicherung.at Kontakt (WebSearch)","2026-09-20","https://www.fuchs-versicherung.at","","","","",""
"MOPAVE (Monika Pojar-Avender)","Monika Pojar-Avender","+43 676 370 70 23","Schlossgartenstraße 6","1230","Wien","Versicherungsmakler","","Recruiting","mopave.com; WKO Firmen A-Z (WebSearch)","2026-09-20","https://www.mopave.com","","","","",""
"Gerald Hönigsberger, Vermögensberatung (e.U.)","Gerald Hönigsberger","0664/1361142","Hofstattgasse 14/15","1180","Wien","Gewerbl. Vermögensberatung, GISA 37401955","","Recruiting","WKO Firmen A-Z; herold.at; hoenigsberger.com (WebSearch)","2026-09-20","https://www.hoenigsberger.com","","","","",""
"Christopher Havranek, Vermögensberatung / benfi – Benefits in Finance","Christopher Havranek","","Donaufelder Straße 247/DG1","1220","Wien","Gewerbl. Vermögensberatung, GISA 31824385","","Recruiting","WKO Firmen A-Z; firmenabc.at (WebSearch)","2026-09-20","https://www.ihrefinanzdienstleister.wien","","","","",""
"Michael Pavlicek, Akademischer Finanzdienstleister, Versicherungsmakler","Michael Pavlicek","+43 676 710 42 91","Dingelstedtgasse 24/18","1150","Wien","Versicherungsmakler, GISA 25355086","","Recruiting","WKO Firmen A-Z; bayer-investment.com (WebSearch)","2026-09-20","","","","","",""
"finconaut Vermögensberatung e.U.","Mag. Udo Marchetti","","Dr. Eberle-Gasse 10/4/4","1100","Wien","Gewerbl. Vermögensberatung","","Recruiting","finconaut.com Impressum; Firmenbuch FN 600482m (WebSearch, unabhaengig bestaetigt)","2026-09-20","https://www.finconaut.com","","","","",""
